epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter,train_response_loss,test_response_loss,train_gate_mean,test_gate_mean
1,1.420336,0.537518,0.889487,0.670034,5.00000000e-04,57.656,57.615,0.042,57.656,0,1.796468,1.778866,0.055105,0.006697
2,0.986015,0.703463,0.821486,0.705387,4.99876887e-04,6.300,6.274,0.027,6.300,0,1.790144,1.776928,0.001568,0.001187
3,0.888057,0.727994,0.902881,0.656566,4.99507669e-04,6.270,6.254,0.016,6.270,1,1.786137,1.778229,0.017043,0.000106
4,0.811230,0.753247,0.796577,0.700337,4.98892710e-04,6.207,6.192,0.015,6.207,2,1.781650,1.772734,0.000159,0.000117
5,0.774068,0.786436,0.822488,0.695286,4.98032618e-04,6.311,6.295,0.016,6.311,3,1.778958,1.768974,0.000254,0.000236
6,0.707511,0.808081,0.813918,0.686869,4.96928241e-04,6.282,6.266,0.016,6.282,4,1.777586,1.767299,0.000466,0.000397
7,0.688586,0.806638,0.866922,0.675084,4.95580669e-04,6.334,6.318,0.015,6.334,5,1.774086,1.765586,0.001027,0.000330
8,0.656070,0.820346,0.833881,0.696970,4.93991232e-04,6.223,6.208,0.016,6.223,6,1.773025,1.763027,0.000627,0.000845
9,0.646679,0.831169,0.825805,0.686869,4.92161499e-04,6.047,6.032,0.015,6.047,7,1.772590,1.763677,0.005364,0.000050
10,0.613626,0.844156,0.838937,0.680135,4.90093275e-04,5.929,5.913,0.016,5.929,8,1.772241,1.761292,0.000057,0.000020
11,0.578060,0.858586,0.859717,0.696970,4.87788601e-04,5.900,5.885,0.015,5.900,9,1.768537,1.758862,0.000041,0.000023
12,0.540608,0.873737,0.921321,0.681818,4.85249752e-04,5.891,5.875,0.016,5.891,10,1.767360,1.759026,0.000052,0.000032
13,0.550006,0.854978,0.898533,0.688552,4.82479233e-04,5.897,5.876,0.021,5.897,11,1.765110,1.754811,0.000072,0.000038
14,0.514556,0.876623,0.910188,0.688552,4.79479779e-04,5.926,5.909,0.016,5.926,12,1.762333,1.755289,0.000096,0.000050
15,0.478976,0.891775,0.943316,0.686869,4.76254350e-04,5.914,5.899,0.016,5.914,13,1.762669,1.753792,0.000117,0.000053
16,0.465117,0.904040,0.923329,0.673401,4.72806128e-04,5.883,5.869,0.014,5.883,14,1.759878,1.749907,0.000124,0.000082
17,0.457156,0.891775,0.971019,0.685185,4.69138517e-04,5.909,5.893,0.016,5.909,15,1.759130,1.750456,0.000123,0.000065
18,0.418572,0.916306,0.992292,0.670034,4.65255136e-04,5.896,5.879,0.017,5.896,16,1.758115,1.746637,0.000147,0.000068
19,0.406974,0.922078,0.959247,0.695286,4.61159817e-04,6.023,6.008,0.016,6.023,17,1.756282,1.745476,0.000122,0.000094
20,0.395468,0.920635,0.963681,0.683502,4.56856603e-04,5.888,5.873,0.015,5.888,18,1.754421,1.744293,0.000149,0.000102
21,0.370181,0.937951,1.021140,0.678451,4.52349740e-04,5.897,5.881,0.015,5.897,19,1.752273,1.744202,0.000230,0.000096
22,0.357276,0.940837,0.989425,0.685185,4.47643676e-04,5.921,5.906,0.015,5.921,20,1.753304,1.744125,0.000148,0.000108
23,0.365359,0.934343,1.002151,0.683502,4.42743054e-04,5.904,5.889,0.015,5.904,21,1.751901,1.746854,0.000368,0.000447
24,0.350494,0.945166,0.999907,0.691919,4.37652712e-04,5.911,5.895,0.016,5.911,22,1.750502,1.743611,0.001959,0.000034
25,0.328929,0.959596,1.040114,0.690236,4.32377673e-04,5.917,5.901,0.016,5.917,23,1.749640,1.743018,0.000050,0.000020
26,0.319018,0.954545,1.056171,0.686869,4.26923142e-04,5.923,5.906,0.017,5.923,24,1.744706,1.740453,0.000044,0.000019
27,0.301576,0.964646,1.079183,0.702020,4.21294503e-04,5.910,5.893,0.016,5.910,25,1.744118,1.742450,0.000044,0.000020
