epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter
1,1.656536,0.381674,1.507118,0.604377,5.00000000e-04,80.890,80.856,0.033,80.890,0
2,1.387230,0.613997,1.306577,0.646465,4.99876887e-04,6.670,6.653,0.016,6.670,0
3,1.192495,0.676046,1.172722,0.671717,4.99507669e-04,6.744,6.728,0.015,6.744,0
4,1.087034,0.672439,1.091981,0.670034,4.98892710e-04,6.608,6.597,0.010,6.608,1
5,1.006962,0.702020,1.028389,0.688552,4.98032618e-04,6.629,6.614,0.015,6.629,0
6,0.947373,0.704906,0.989601,0.686869,4.96928241e-04,6.612,6.602,0.010,6.612,1
7,0.897193,0.724387,0.960727,0.696970,4.95580669e-04,6.688,6.674,0.014,6.688,0
8,0.860431,0.728716,0.940634,0.678451,4.93991232e-04,6.564,6.555,0.008,6.564,1
9,0.827461,0.736652,0.913821,0.696970,4.92161499e-04,6.615,6.606,0.009,6.615,2
10,0.795795,0.744589,0.902554,0.693603,4.90093275e-04,6.686,6.678,0.008,6.686,3
11,0.789684,0.740981,0.889941,0.683502,4.87788601e-04,6.611,6.603,0.008,6.611,4
12,0.749602,0.752525,0.875946,0.693603,4.85249752e-04,6.741,6.732,0.009,6.741,5
13,0.740734,0.761183,0.872745,0.676768,4.82479233e-04,6.755,6.747,0.009,6.755,6
14,0.733764,0.754690,0.861139,0.696970,4.79479779e-04,6.677,6.667,0.010,6.677,7
15,0.722911,0.761905,0.855029,0.693603,4.76254350e-04,6.689,6.680,0.009,6.689,8
16,0.707974,0.759740,0.850322,0.696970,4.72806128e-04,6.673,6.663,0.010,6.673,9
17,0.691961,0.775613,0.845252,0.688552,4.69138517e-04,6.797,6.788,0.009,6.797,10
18,0.683194,0.777778,0.840632,0.698653,4.65255136e-04,6.619,6.599,0.020,6.619,0
19,0.671532,0.769841,0.837980,0.688552,4.61159817e-04,6.824,6.815,0.009,6.824,1
20,0.664054,0.766234,0.835686,0.698653,4.56856603e-04,6.806,6.798,0.008,6.806,2
21,0.658521,0.778499,0.834958,0.685185,4.52349740e-04,6.728,6.719,0.010,6.728,3
22,0.638190,0.784271,0.830158,0.686869,4.47643676e-04,6.372,6.364,0.009,6.372,4
23,0.635666,0.780664,0.826848,0.683502,4.42743054e-04,6.358,6.348,0.010,6.358,5
24,0.625086,0.800144,0.827822,0.680135,4.37652712e-04,6.310,6.301,0.008,6.310,6
25,0.623413,0.784993,0.823178,0.686869,4.32377673e-04,6.684,6.675,0.009,6.684,7
26,0.612183,0.787879,0.823559,0.698653,4.26923142e-04,6.717,6.703,0.015,6.717,8
27,0.620019,0.792929,0.819246,0.696970,4.21294503e-04,6.666,6.656,0.009,6.666,9
28,0.607700,0.788600,0.820638,0.688552,4.15497310e-04,6.758,6.748,0.009,6.758,10
29,0.601706,0.790043,0.818158,0.703704,4.09537285e-04,6.647,6.634,0.014,6.647,0
30,0.595909,0.801587,0.817740,0.686869,4.03420310e-04,6.668,6.660,0.009,6.668,1
31,0.582533,0.802309,0.814709,0.698653,3.97152420e-04,6.655,6.647,0.008,6.655,2
32,0.586174,0.797980,0.816709,0.686869,3.90739803e-04,6.620,6.611,0.009,6.620,3
33,0.583481,0.795815,0.814691,0.691919,3.84188785e-04,6.643,6.635,0.008,6.643,4
34,0.581388,0.792929,0.812236,0.688552,3.77505833e-04,6.635,6.626,0.008,6.635,5
35,0.589933,0.797980,0.815162,0.690236,3.70697542e-04,6.695,6.687,0.008,6.695,6
36,0.570553,0.800866,0.807657,0.693603,3.63770630e-04,6.720,6.711,0.008,6.720,7
37,0.565247,0.799423,0.813346,0.688552,3.56731933e-04,6.703,6.695,0.008,6.703,8
38,0.547710,0.813853,0.811172,0.686869,3.49588399e-04,6.662,6.653,0.009,6.662,9
39,0.556863,0.810245,0.810401,0.688552,3.42347076e-04,6.651,6.642,0.009,6.651,10
40,0.552018,0.812410,0.819018,0.691919,3.35015111e-04,6.681,6.673,0.008,6.681,11
41,0.542890,0.808802,0.806306,0.688552,3.27599740e-04,6.698,6.690,0.008,6.698,12
42,0.543065,0.800144,0.814093,0.691919,3.20108281e-04,6.714,6.705,0.009,6.714,13
43,0.543720,0.804473,0.811699,0.690236,3.12548127e-04,6.665,6.654,0.010,6.665,14
44,0.546156,0.808802,0.808961,0.683502,3.04926739e-04,6.644,6.635,0.009,6.644,15
45,0.548153,0.808081,0.807955,0.690236,2.97251638e-04,6.642,6.633,0.009,6.642,16
46,0.547412,0.815296,0.810867,0.685185,2.89530399e-04,6.584,6.576,0.008,6.584,17
47,0.538567,0.808081,0.807919,0.681818,2.81770642e-04,6.619,6.610,0.010,6.619,18
48,0.538856,0.805916,0.807980,0.686869,2.73980024e-04,6.734,6.726,0.008,6.734,19
49,0.528237,0.823954,0.809444,0.681818,2.66166235e-04,6.432,6.423,0.009,6.432,20
50,0.536306,0.805916,0.811707,0.686869,2.58336984e-04,6.331,6.323,0.008,6.331,21
51,0.531322,0.812410,0.811131,0.678451,2.50500000e-04,6.401,6.393,0.008,6.401,22
52,0.527916,0.823954,0.805162,0.688552,2.42663016e-04,6.364,6.356,0.008,6.364,23
53,0.530710,0.816739,0.810821,0.680135,2.34833765e-04,6.312,6.303,0.009,6.312,24
54,0.528152,0.817460,0.808801,0.688552,2.27019976e-04,6.439,6.432,0.008,6.439,25
