run_name,model,adapter_type,seed,best_epoch,best_acc,final_epoch,final_acc,macro_f1,early_stopped,trainable_params,adapter_params,classifier_params,checkpoint_size_bytes,mean_epoch_time_sec,mean_adapter_residual_abs_mean,mean_adapter_residual_norm,mean_layer_scale,delta_vs_baseline_seed42,delta_vs_concat_seed42,delta_vs_gated_seed42,delta_vs_spatial_control
roi_spatial_token_adapter_seed42,spatial_token_adapter,spatial,42,4,0.648148,16,0.614478,0.649662,True,655878,652800,3078,7906097,13.0060625,0.672887625,25.744807625,0.013934795625,-0.04882200000000003,-0.05723900000000004,-0.05723900000000004,0.0
roi_spectral_global_filter_adapter_seed42,spectral_global_filter_adapter,global_filter,42,14,0.66835,33,0.624579,0.672112,True,688518,685440,3078,8289125,11.823030303030302,0.4891310909090909,17.617733333333334,0.03166002424242424,-0.02861999999999998,-0.03703699999999999,-0.03703699999999999,0.020202000000000053
roi_spectral_factorized_filter_adapter_seed42,spectral_factorized_filter_adapter,factorized_filter,42,9,0.698653,21,0.639731,0.701415,True,616710,613632,3078,7479450,11.547428571428572,0.29654961904761906,10.946291857142857,0.030626321904761906,0.00168299999999999,-0.006734000000000018,-0.006734000000000018,0.05050500000000002
roi_wavelet_token_adapter_seed42,wavelet_token_adapter,wavelet,42,6,0.680135,18,0.622896,0.684019,True,617874,614796,3078,7466279,13.537277777777778,0.44169594444444443,16.103366,0.024867428333333334,-0.016834999999999933,-0.02525199999999994,-0.02525199999999994,0.0319870000000001
