run_name,model,seed,best_epoch,best_acc,final_epoch,final_acc,macro_f1,early_stopped,best_ckpt,log_path,checkpoint_size_bytes,mean_epoch_time_sec,mean_checkpoint_time_sec
roi_clip_baseline_seed42_speedfix,clip_linear,42,10,0.693603,35,0.686869,0.695472,True,D:\OneDrive\Desktop\TEP-VEA\NEW-VEA\checkpoints\roi_clip_baseline_seed42_speedfix\best.pt,D:\OneDrive\Desktop\TEP-VEA\NEW-VEA\logs\roi_clip_baseline_seed42_speedfix.log,41635,7.863514285714286,0.004085714285714288
roi_frequency_only_seed42,frequency_only,42,23,0.262626,48,0.237374,0.218779,True,D:\OneDrive\Desktop\TEP-VEA\NEW-VEA\checkpoints\roi_frequency_only_seed42\best.pt,D:\OneDrive\Desktop\TEP-VEA\NEW-VEA\logs\roi_frequency_only_seed42.log,553217,3.570250000000001,0.0036041666666666687
roi_clip_fft_concat_seed42,clip_fft_concat,42,31,0.705387,56,0.688552,0.706896,True,D:\OneDrive\Desktop\TEP-VEA\NEW-VEA\checkpoints\roi_clip_fft_concat_seed42\best.pt,D:\OneDrive\Desktop\TEP-VEA\NEW-VEA\logs\roi_clip_fft_concat_seed42.log,994369,7.197857142857144,0.005303571428571433
roi_affectspectrum_film_seed42,affectspectrum_film,42,31,0.70202,56,0.69697,0.703988,True,D:\OneDrive\Desktop\TEP-VEA\NEW-VEA\checkpoints\roi_affectspectrum_film_seed42\best.pt,D:\OneDrive\Desktop\TEP-VEA\NEW-VEA\logs\roi_affectspectrum_film_seed42.log,4360149,7.728821428571428,0.011035714285714293
