frequency_model,frequency_best_acc,spatial_control_best_acc,frequency_minus_spatial,frequency_macro_f1,spatial_control_macro_f1,frequency_macro_f1_minus_spatial,frequency_specific_gain_positive
spectral_global_filter_adapter,0.66835,0.654882,0.013468000000000035,0.670097,0.654244,0.015853000000000006,True
spectral_factorized_filter_adapter,0.688552,0.654882,0.03367000000000009,0.692077,0.654244,0.037833000000000006,True
wavelet_token_adapter,0.676768,0.654882,0.021886000000000072,0.680727,0.654244,0.026482999999999923,True
