model,seed,perturbation,acc,macro_f1,delta_acc_vs_full,delta_macro_f1_vs_full
baseline,42,high_0.50,0.16666666666666666,0.047619047619047616,-0.5303030303030304,-0.6512417985827181
baseline,42,band_0.15_0.30,0.16666666666666666,0.047619047619047616,-0.5303030303030304,-0.6512417985827181
baseline,42,band_0.30_0.50,0.16666666666666666,0.047619047619047616,-0.5303030303030304,-0.6512417985827181
baseline,42,band_0.50_0.75,0.16666666666666666,0.047619047619047616,-0.5303030303030304,-0.6512417985827181
baseline,42,blur_light,0.5757575757575758,0.583415465641081,-0.12121212121212122,-0.11544538056068476
baseline,42,blur_heavy,0.37542087542087543,0.3703848764905284,-0.3215488215488216,-0.3284759697112374
baseline,42,downsample_x2,0.6565656565656566,0.6573649697951045,-0.04040404040404044,-0.0414958764066613
baseline,42,downsample_x4,0.6144781144781145,0.6133852122119757,-0.0824915824915825,-0.08547563398979008
baseline,42,amplitude_noise_0.05,0.6616161616161617,0.6641095774665448,-0.03535353535353536,-0.03475126873522105
baseline,42,amplitude_noise_0.10,0.6683501683501684,0.669695235756348,-0.028619528619528656,-0.029165610445417767
baseline,42,phase_noise_0.05,0.664983164983165,0.6672452019386781,-0.03198653198653201,-0.03161564426308772
baseline,42,phase_noise_0.10,0.6717171717171717,0.6752490835789781,-0.025252525252525304,-0.023611762622787746
baseline,43,full,0.6986531986531986,0.7005446131220489,0.0,0.0
baseline,43,low_0.15,0.46464646464646464,0.4503987424982003,-0.234006734006734,-0.2501458706238486
baseline,43,low_0.30,0.5993265993265994,0.5969449508487027,-0.09932659932659926,-0.10359966227334616
baseline,43,low_0.50,0.6632996632996633,0.6612288100152844,-0.03535353535353536,-0.03931580310676441
baseline,43,high_0.30,0.1717171717171717,0.05790421554356823,-0.5269360269360269,-0.6426403975784807
baseline,43,high_0.50,0.16666666666666666,0.04775687409551375,-0.531986531986532,-0.6527877390265351
baseline,43,band_0.15_0.30,0.16666666666666666,0.047619047619047616,-0.531986531986532,-0.6529255655030013
baseline,43,band_0.30_0.50,0.16666666666666666,0.047619047619047616,-0.531986531986532,-0.6529255655030013
baseline,43,band_0.50_0.75,0.16666666666666666,0.04775687409551375,-0.531986531986532,-0.6527877390265351
baseline,43,blur_light,0.5336700336700336,0.5456750382807225,-0.164983164983165,-0.15486957484132635
baseline,43,blur_heavy,0.3114478114478115,0.29325831605578595,-0.38720538720538716,-0.4072862970662629
baseline,43,downsample_x2,0.6346801346801347,0.6381648802930513,-0.0639730639730639,-0.06237973282899756
baseline,43,downsample_x4,0.5808080808080808,0.5797091818354358,-0.11784511784511786,-0.120835431286613
baseline,43,amplitude_noise_0.05,0.6717171717171717,0.6735671312360106,-0.026936026936026924,-0.026977481886038213
baseline,43,amplitude_noise_0.10,0.6683501683501684,0.6702969826995594,-0.030303030303030276,-0.030247630422489458
baseline,43,phase_noise_0.05,0.6666666666666666,0.6695332265763508,-0.03198653198653201,-0.031011386545698016
baseline,43,phase_noise_0.10,0.6801346801346801,0.6813845885436828,-0.01851851851851849,-0.019160024578366075
