epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter,train_response_loss,test_response_loss,train_gate_mean,test_gate_mean
1,1.445869,0.516595,0.904141,0.691919,5.00000000e-04,55.025,54.985,0.040,55.025,0,1.798676,1.781247,0.306873,0.075811
2,0.991713,0.694084,0.860417,0.676768,4.99876887e-04,6.242,6.227,0.015,6.242,1,1.786130,1.777470,0.342919,0.139860
3,0.883971,0.744589,0.817485,0.681818,4.99507669e-04,6.265,6.249,0.016,6.265,2,1.783155,1.774965,0.191073,0.464330
4,0.823600,0.752525,0.851894,0.680135,4.98892710e-04,6.232,6.216,0.016,6.232,3,1.784002,1.774609,0.249002,0.335159
5,0.797843,0.769120,0.858012,0.678451,4.98032618e-04,6.336,6.320,0.016,6.336,4,1.780879,1.775292,0.289651,0.149359
6,0.723625,0.800866,0.873297,0.678451,4.96928241e-04,6.268,6.250,0.018,6.268,5,1.777718,1.769630,0.277550,0.421242
7,0.696543,0.798701,0.826771,0.696970,4.95580669e-04,6.294,6.266,0.028,6.294,0,1.776724,1.768523,0.284397,0.196214
8,0.646344,0.828283,0.902178,0.671717,4.93991232e-04,6.247,6.232,0.016,6.247,1,1.775366,1.765420,0.226435,0.399335
9,0.653170,0.821789,0.872301,0.673401,4.92161499e-04,6.256,6.241,0.015,6.256,2,1.773083,1.761669,0.325384,0.199957
10,0.595145,0.850649,0.951823,0.648148,4.90093275e-04,6.255,6.240,0.015,6.255,3,1.765990,1.758766,0.390045,0.414675
11,0.561875,0.866522,0.908707,0.673401,4.87788601e-04,6.281,6.267,0.014,6.281,4,1.767813,1.757511,0.313822,0.381320
12,0.526067,0.876623,0.906024,0.690236,4.85249752e-04,6.278,6.261,0.017,6.278,5,1.767280,1.756196,0.310916,0.308351
13,0.512928,0.877345,0.916572,0.691919,4.82479233e-04,6.388,6.373,0.015,6.388,6,1.764632,1.754750,0.377604,0.390063
14,0.488242,0.881674,0.934922,0.686869,4.79479779e-04,6.297,6.283,0.014,6.297,7,1.764292,1.751931,0.319603,0.190745
15,0.463356,0.900433,0.948899,0.690236,4.76254350e-04,6.321,6.306,0.015,6.321,8,1.762278,1.752036,0.293207,0.221491
16,0.460060,0.898990,0.979217,0.670034,4.72806128e-04,6.244,6.229,0.015,6.244,9,1.763526,1.751260,0.277830,0.306529
17,0.419663,0.911977,1.028173,0.666667,4.69138517e-04,6.301,6.285,0.016,6.301,10,1.758803,1.749689,0.294665,0.378582
18,0.385218,0.932179,1.033960,0.685185,4.65255136e-04,6.301,6.285,0.015,6.301,11,1.756280,1.746107,0.327286,0.376752
19,0.378983,0.935065,1.103002,0.663300,4.61159817e-04,6.311,6.294,0.017,6.311,12,1.751195,1.745277,0.328483,0.368812
20,0.369226,0.938672,1.069049,0.683502,4.56856603e-04,6.280,6.265,0.016,6.280,13,1.755790,1.743961,0.332093,0.289565
21,0.366535,0.933622,1.096852,0.676768,4.52349740e-04,6.313,6.296,0.017,6.313,14,1.751330,1.745485,0.318122,0.388687
22,0.338979,0.943723,1.151174,0.668350,4.47643676e-04,6.311,6.296,0.015,6.311,15,1.750055,1.743604,0.292244,0.363281
23,0.317193,0.956710,1.202930,0.666667,4.42743054e-04,6.313,6.298,0.015,6.313,16,1.748960,1.742836,0.332588,0.402529
24,0.323823,0.947330,1.201965,0.671717,4.37652712e-04,6.313,6.296,0.017,6.313,17,1.746563,1.743839,0.358313,0.370628
25,0.312788,0.956710,1.147757,0.683502,4.32377673e-04,6.271,6.255,0.016,6.271,18,1.748174,1.743218,0.345451,0.317445
26,0.291859,0.966811,1.233435,0.675084,4.26923142e-04,6.342,6.327,0.015,6.342,19,1.751253,1.742912,0.322008,0.381534
27,0.288017,0.965368,1.271037,0.668350,4.21294503e-04,6.330,6.315,0.015,6.330,20,1.744869,1.742568,0.348334,0.414666
28,0.286116,0.966089,1.214881,0.676768,4.15497310e-04,6.330,6.314,0.016,6.330,21,1.745871,1.742611,0.327624,0.264693
29,0.287298,0.969697,1.333994,0.664983,4.09537285e-04,6.286,6.270,0.016,6.286,22,1.743622,1.742822,0.345991,0.426803
30,0.264911,0.971140,1.289776,0.676768,4.03420310e-04,6.276,6.262,0.014,6.276,23,1.740597,1.742585,0.336184,0.378149
31,0.266796,0.974026,1.263952,0.681818,3.97152420e-04,6.278,6.262,0.016,6.278,24,1.742418,1.740136,0.353076,0.294895
32,0.260065,0.973304,1.278749,0.681818,3.90739803e-04,6.332,6.318,0.015,6.332,25,1.741938,1.744105,0.347578,0.275884
