epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter
1,1.665159,0.366522,1.502082,0.601010,5.00000000e-04,63.322,63.282,0.039,63.322,0
2,1.406310,0.574315,1.312031,0.636364,4.99876887e-04,6.746,6.727,0.019,6.746,0
3,1.225818,0.645022,1.191527,0.643098,4.99507669e-04,6.776,6.743,0.032,6.776,0
4,1.106112,0.668110,1.099484,0.654882,4.98892710e-04,6.689,6.670,0.019,6.689,0
5,1.015829,0.693362,1.044627,0.656566,4.98032618e-04,6.743,6.729,0.014,6.743,0
6,0.956443,0.699856,0.997907,0.668350,4.96928241e-04,6.688,6.674,0.013,6.688,0
7,0.915571,0.707792,0.966772,0.676768,4.95580669e-04,6.766,6.752,0.014,6.766,0
8,0.869968,0.709957,0.945043,0.673401,4.93991232e-04,6.718,6.708,0.009,6.718,1
9,0.843335,0.717172,0.926435,0.671717,4.92161499e-04,6.694,6.686,0.008,6.694,2
10,0.818985,0.728716,0.905524,0.685185,4.90093275e-04,6.730,6.715,0.016,6.730,0
11,0.788471,0.745310,0.897700,0.685185,4.87788601e-04,6.659,6.650,0.009,6.659,1
12,0.770226,0.755411,0.879316,0.691919,4.85249752e-04,6.746,6.732,0.015,6.746,0
13,0.755356,0.746032,0.871934,0.685185,4.82479233e-04,6.736,6.728,0.008,6.736,1
14,0.732963,0.758297,0.860327,0.690236,4.79479779e-04,6.693,6.684,0.009,6.693,2
15,0.729163,0.746032,0.861589,0.675084,4.76254350e-04,6.703,6.696,0.007,6.703,3
16,0.709702,0.756854,0.854362,0.690236,4.72806128e-04,6.790,6.782,0.007,6.790,4
17,0.703327,0.761905,0.842322,0.691919,4.69138517e-04,6.708,6.700,0.007,6.708,5
18,0.680094,0.776335,0.843522,0.686869,4.65255136e-04,6.720,6.713,0.007,6.720,6
19,0.680969,0.764069,0.842518,0.691919,4.61159817e-04,6.840,6.831,0.008,6.840,7
20,0.662950,0.774170,0.840422,0.693603,4.56856603e-04,6.696,6.682,0.014,6.696,0
21,0.661073,0.779221,0.829990,0.688552,4.52349740e-04,6.765,6.756,0.009,6.765,1
22,0.642037,0.784271,0.832229,0.693603,4.47643676e-04,6.774,6.765,0.008,6.774,2
23,0.641809,0.768398,0.827372,0.691919,4.42743054e-04,6.770,6.760,0.010,6.770,3
24,0.636838,0.780664,0.824508,0.696970,4.37652712e-04,6.736,6.722,0.014,6.736,0
25,0.627777,0.785714,0.824033,0.688552,4.32377673e-04,6.682,6.673,0.008,6.682,1
26,0.627806,0.780664,0.821879,0.693603,4.26923142e-04,6.693,6.684,0.010,6.693,2
27,0.624261,0.772727,0.822125,0.696970,4.21294503e-04,6.666,6.658,0.008,6.666,3
28,0.616696,0.780664,0.820377,0.695286,4.15497310e-04,6.680,6.672,0.008,6.680,4
29,0.608983,0.794372,0.818930,0.693603,4.09537285e-04,6.704,6.695,0.008,6.704,5
30,0.613224,0.798701,0.814567,0.696970,4.03420310e-04,6.651,6.641,0.010,6.651,6
31,0.602701,0.797980,0.815132,0.702020,3.97152420e-04,6.660,6.644,0.016,6.660,0
32,0.589509,0.803752,0.816477,0.690236,3.90739803e-04,6.709,6.699,0.010,6.709,1
33,0.577412,0.797980,0.824830,0.691919,3.84188785e-04,6.785,6.775,0.010,6.785,2
34,0.586270,0.800866,0.818393,0.698653,3.77505833e-04,6.766,6.755,0.010,6.766,3
35,0.579897,0.794372,0.815563,0.693603,3.70697542e-04,6.698,6.688,0.009,6.698,4
36,0.578991,0.804473,0.813517,0.696970,3.63770630e-04,6.673,6.666,0.007,6.673,5
37,0.570774,0.800866,0.814081,0.696970,3.56731933e-04,6.448,6.441,0.008,6.448,6
38,0.571013,0.809524,0.815628,0.691919,3.49588399e-04,6.370,6.363,0.007,6.370,7
39,0.567086,0.805195,0.813211,0.695286,3.42347076e-04,6.509,6.502,0.007,6.509,8
40,0.559834,0.807359,0.810979,0.698653,3.35015111e-04,6.544,6.533,0.011,6.544,9
41,0.567125,0.792208,0.814899,0.700337,3.27599740e-04,6.706,6.698,0.008,6.706,10
42,0.555691,0.810245,0.811296,0.702020,3.20108281e-04,6.674,6.667,0.007,6.674,11
43,0.547216,0.805195,0.811989,0.695286,3.12548127e-04,6.674,6.664,0.010,6.674,12
44,0.557205,0.810245,0.806995,0.698653,3.04926739e-04,6.769,6.761,0.008,6.769,13
45,0.539247,0.820346,0.811457,0.696970,2.97251638e-04,6.694,6.683,0.011,6.694,14
46,0.547365,0.801587,0.815263,0.693603,2.89530399e-04,6.661,6.654,0.007,6.661,15
47,0.541681,0.818182,0.811892,0.696970,2.81770642e-04,6.328,6.320,0.008,6.328,16
48,0.540578,0.806638,0.808783,0.700337,2.73980024e-04,6.660,6.653,0.007,6.660,17
49,0.536377,0.816739,0.809953,0.698653,2.66166235e-04,6.563,6.554,0.009,6.563,18
50,0.536000,0.813853,0.809122,0.700337,2.58336984e-04,6.609,6.597,0.012,6.609,19
51,0.538978,0.815296,0.812615,0.698653,2.50500000e-04,6.715,6.705,0.010,6.715,20
52,0.522812,0.819625,0.809234,0.702020,2.42663016e-04,7.387,7.370,0.016,7.387,21
53,0.528407,0.811688,0.815992,0.693603,2.34833765e-04,7.086,7.077,0.009,7.086,22
54,0.525697,0.812410,0.811254,0.695286,2.27019976e-04,6.678,6.666,0.011,6.678,23
55,0.520255,0.827561,0.814403,0.691919,2.19229358e-04,6.848,6.834,0.014,6.848,24
56,0.525248,0.808802,0.812020,0.696970,2.11469601e-04,7.316,7.306,0.009,7.316,25
