epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter
1,1.681623,0.341991,1.511262,0.607744,5.00000000e-04,68.590,68.504,0.082,68.590,0
2,1.416713,0.588745,1.327890,0.658249,4.99876887e-04,6.150,6.141,0.009,6.150,0
3,1.244923,0.641414,1.202276,0.671717,4.99507669e-04,6.102,6.094,0.008,6.102,0
4,1.130998,0.658730,1.118125,0.678451,4.98892710e-04,6.215,6.207,0.008,6.215,0
5,1.048108,0.680375,1.056724,0.695286,4.98032618e-04,6.167,6.160,0.007,6.167,0
6,0.983417,0.694084,1.015413,0.686869,4.96928241e-04,6.164,6.159,0.005,6.164,1
7,0.937825,0.693362,0.984385,0.691919,4.95580669e-04,6.277,6.272,0.005,6.277,2
8,0.894280,0.717893,0.962352,0.676768,4.93991232e-04,6.334,6.328,0.006,6.334,3
9,0.867597,0.727994,0.931214,0.700337,4.92161499e-04,6.312,6.298,0.014,6.312,0
10,0.831584,0.732323,0.916622,0.702020,4.90093275e-04,6.224,6.216,0.007,6.224,0
11,0.812122,0.739538,0.909591,0.680135,4.87788601e-04,6.235,6.229,0.005,6.235,1
12,0.788766,0.753968,0.890715,0.690236,4.85249752e-04,6.195,6.191,0.004,6.195,2
13,0.766334,0.756133,0.888407,0.678451,4.82479233e-04,6.225,6.221,0.004,6.225,3
14,0.749070,0.757576,0.873216,0.690236,4.79479779e-04,6.196,6.193,0.004,6.196,4
15,0.737852,0.751082,0.865333,0.681818,4.76254350e-04,6.242,6.236,0.006,6.242,5
16,0.733177,0.753968,0.859563,0.688552,4.72806128e-04,6.265,6.260,0.005,6.265,6
17,0.714950,0.756133,0.857485,0.698653,4.69138517e-04,6.305,6.299,0.006,6.305,7
18,0.700160,0.778499,0.849378,0.696970,4.65255136e-04,6.155,6.151,0.005,6.155,8
19,0.691546,0.765512,0.849213,0.688552,4.61159817e-04,6.307,6.301,0.006,6.307,9
20,0.680814,0.757576,0.844908,0.690236,4.56856603e-04,6.347,6.342,0.006,6.347,10
21,0.674879,0.762626,0.848798,0.675084,4.52349740e-04,6.430,6.426,0.005,6.430,11
22,0.664027,0.779942,0.835372,0.691919,4.47643676e-04,6.369,6.364,0.005,6.369,12
23,0.656509,0.780664,0.834539,0.690236,4.42743054e-04,6.198,6.193,0.005,6.198,13
24,0.648180,0.778499,0.834222,0.688552,4.37652712e-04,6.244,6.239,0.005,6.244,14
25,0.646678,0.772727,0.833461,0.686869,4.32377673e-04,6.628,6.624,0.004,6.628,15
26,0.646451,0.781385,0.829448,0.693603,4.26923142e-04,6.658,6.652,0.006,6.658,16
27,0.631563,0.781385,0.825921,0.695286,4.21294503e-04,6.324,6.320,0.004,6.324,17
28,0.635858,0.784993,0.823303,0.691919,4.15497310e-04,6.208,6.204,0.004,6.208,18
29,0.617855,0.779942,0.820598,0.700337,4.09537285e-04,6.131,6.127,0.004,6.131,19
30,0.607603,0.793651,0.821610,0.698653,4.03420310e-04,6.100,6.095,0.005,6.100,20
31,0.617698,0.779942,0.819149,0.696970,3.97152420e-04,6.110,6.105,0.005,6.110,21
32,0.608162,0.793651,0.823868,0.691919,3.90739803e-04,6.250,6.245,0.004,6.250,22
33,0.592267,0.790765,0.817216,0.700337,3.84188785e-04,6.257,6.251,0.006,6.257,23
34,0.602272,0.784993,0.813730,0.696970,3.77505833e-04,6.244,6.238,0.006,6.244,24
35,0.597939,0.791486,0.817345,0.695286,3.70697542e-04,6.340,6.335,0.005,6.340,25
