class_idx,class_name,stage,mean_gt_prob,mean_entropy,acc
0,anger,low_0.15,0.3255862218864036,1.1973060501946344,0.3333333333333333
0,anger,low_0.30,0.40204171248890386,1.04946720374353,0.47474747474747475
0,anger,low_0.50,0.4571031806402548,0.9650680436329409,0.5454545454545454
0,anger,full,0.4979694697493217,0.9026116865752923,0.5858585858585859
1,disgust,low_0.15,0.34010778921609275,1.18670163100416,0.42424242424242425
1,disgust,low_0.30,0.5518472938977107,0.8417129196000822,0.6464646464646465
1,disgust,low_0.50,0.7131637674474129,0.62105991188766,0.797979797979798
1,disgust,full,0.7778233048068641,0.5052879459443361,0.8686868686868687
2,fear,low_0.15,0.660436340805256,0.9446827852063708,0.9494949494949495
2,fear,low_0.30,0.6820189292269825,0.7641550663745764,0.8585858585858586
2,fear,low_0.50,0.590881569442725,0.7967142912775579,0.7272727272727273
2,fear,full,0.5755194276383128,0.777793661361993,0.7272727272727273
3,joy,low_0.15,0.3111316334983014,1.3347783552275763,0.41414141414141414
3,joy,low_0.30,0.572067084788072,1.0312681247790654,0.8282828282828283
3,joy,low_0.50,0.7260698789373191,0.7189283081979463,0.8888888888888888
3,joy,full,0.6414349150627551,0.7972796038545743,0.7878787878787878
4,sadness,low_0.15,0.29396380294076724,1.159509251214037,0.30303030303030304
4,sadness,low_0.30,0.466222125867551,0.9076317393719547,0.5151515151515151
4,sadness,low_0.50,0.600070110061253,0.7580276709238086,0.6666666666666666
4,sadness,full,0.6538763985113062,0.7060735076477732,0.7474747474747475
5,surprise,low_0.15,0.15934979647510883,1.3715796235835913,0.12121212121212122
5,surprise,low_0.30,0.25223802012683016,1.1762144372920798,0.2828282828282828
5,surprise,low_0.50,0.3225390467783342,0.9795767126059292,0.37373737373737376
5,surprise,full,0.48281360179599786,0.8722971465551492,0.5555555555555556
