probe_name,run_name,model,seed,perturbation,loss,acc,macro_f1,num_samples,mean_gate
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,full,0.788833109216658,0.7121212121212122,0.7108537403057666,594,0.00031713608053421936
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,low_0.15,1.40965267183002,0.42424242424242425,0.42160833274843884,594,0.013794245041580715
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,low_0.30,1.060631073283828,0.601010101010101,0.5995899756770738,594,0.010091827561457952
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,low_0.50,0.9019181672170106,0.6666666666666666,0.6608459860566184,594,0.00029856306955419005
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,high_0.30,2.70369372383914,0.1717171717171717,0.057947376148862674,594,0.000801831389767955
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,high_0.50,2.572603223299739,0.1632996632996633,0.04727095516569201,594,0.002538265585146769
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,band_0.15_0.30,2.8520425891234016,0.16666666666666666,0.047619047619047616,594,0.0006180685734758875
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,band_0.30_0.50,2.812154196729564,0.16835016835016836,0.05102119460500964,594,0.000875847351420608
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,band_0.50_0.75,2.6030723727512037,0.1632996632996633,0.047340165934602246,594,0.0021006545829602365
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,blur_light,1.193982345889313,0.5286195286195287,0.5371611532584178,594,0.0018297400269092936
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,blur_heavy,1.7458216919240728,0.2676767676767677,0.22445240572298067,594,0.0022281373220712246
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,downsample_x2,0.900031429749948,0.6632996632996633,0.6597483186653538,594,0.0004870435168107451
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,downsample_x4,1.0862870497334285,0.6026936026936027,0.597259953015301,594,0.0005713223780721727
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,amplitude_noise_0.05,0.8255252147764469,0.7003367003367004,0.7004765697919405,594,0.0003755042864078725
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,amplitude_noise_0.10,0.8556371891137325,0.6868686868686869,0.68536903873831,594,0.00041692280241912265
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,phase_noise_0.05,0.8188794682724307,0.696969696969697,0.6958754748608379,594,0.00038301198577088137
roi_affectspectrum_gated_seed44,roi_affectspectrum_gated_seed44,affectspectrum_gated,44,phase_noise_0.10,0.8414128424744012,0.6851851851851852,0.6829506449873736,594,0.00039647698327146397
