probe_name,run_name,model,seed,perturbation,class_idx,class_name,num_samples,acc
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.50_0.75,0,anger,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.50_0.75,1,disgust,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.50_0.75,2,fear,99,1.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.50_0.75,3,joy,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.50_0.75,4,sadness,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.50_0.75,5,surprise,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,blur_light,0,anger,99,0.5252525252525253
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,blur_light,1,disgust,99,0.32323232323232326
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,blur_light,2,fear,99,0.9191919191919192
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,blur_light,3,joy,99,0.3434343434343434
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,blur_light,4,sadness,99,0.47474747474747475
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,blur_light,5,surprise,99,0.26262626262626265
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,blur_heavy,0,anger,99,0.16161616161616163
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,blur_heavy,1,disgust,99,0.050505050505050504
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,blur_heavy,2,fear,99,0.9494949494949495
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,blur_heavy,3,joy,99,0.13131313131313133
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,blur_heavy,4,sadness,99,0.15151515151515152
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,blur_heavy,5,surprise,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,downsample_x2,0,anger,99,0.5555555555555556
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,downsample_x2,1,disgust,99,0.7171717171717171
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,downsample_x2,2,fear,99,0.8181818181818182
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,downsample_x2,3,joy,99,0.7171717171717171
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,downsample_x2,4,sadness,99,0.5858585858585859
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,downsample_x2,5,surprise,99,0.5656565656565656
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,downsample_x4,0,anger,99,0.5353535353535354
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,downsample_x4,1,disgust,99,0.46464646464646464
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,downsample_x4,2,fear,99,0.898989898989899
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,downsample_x4,3,joy,99,0.5454545454545454
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,downsample_x4,4,sadness,99,0.41414141414141414
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,downsample_x4,5,surprise,99,0.37373737373737376
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,amplitude_noise_0.05,0,anger,99,0.5858585858585859
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,amplitude_noise_0.05,1,disgust,99,0.797979797979798
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,amplitude_noise_0.05,2,fear,99,0.7272727272727273
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,amplitude_noise_0.05,3,joy,99,0.7070707070707071
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,amplitude_noise_0.05,4,sadness,99,0.5656565656565656
