class_idx,class_name,stage,mean_gt_prob,mean_entropy,acc
0,anger,low_0.15,0.029497466990700962,0.5619927498673366,0.010101010101010102
0,anger,low_0.30,0.11075257163288524,0.6026900171519335,0.10101010101010101
0,anger,low_0.50,0.5324717058019355,0.9246946917188288,0.6666666666666666
0,anger,full,0.4955519400160722,0.9699962345337627,0.6060606060606061
1,disgust,low_0.15,0.013845023362325095,0.5803488024025942,0.0
1,disgust,low_0.30,0.062139851410582106,0.6811491420628117,0.04040404040404041
1,disgust,low_0.50,0.5697064210585497,0.9089617218558836,0.7070707070707071
1,disgust,full,0.7014921838511722,0.7108581319376074,0.8484848484848485
2,fear,low_0.15,0.7280704501610776,0.3315903719868695,0.8181818181818182
2,fear,low_0.30,0.7856427244465763,0.3851850043036054,0.8888888888888888
2,fear,low_0.50,0.5326983277413129,0.9108429850652965,0.7272727272727273
2,fear,full,0.5177177275352255,0.9091127096402525,0.6565656565656566
3,joy,low_0.15,0.6627450400229656,0.5293991052483992,0.7777777777777778
3,joy,low_0.30,0.817128304504987,0.422678830442815,0.9090909090909091
3,joy,low_0.50,0.6582903022115881,0.8627376845388701,0.8080808080808081
3,joy,full,0.5651296336542476,0.9217005022848496,0.7575757575757576
4,sadness,low_0.15,0.03283083800533285,0.5670222722961317,0.010101010101010102
4,sadness,low_0.30,0.12939716961030118,0.6380895488438131,0.13131313131313133
4,sadness,low_0.50,0.5793142450239622,0.8293630178980153,0.7070707070707071
4,sadness,full,0.6123642485325385,0.8016816466820963,0.7272727272727273
5,surprise,low_0.15,0.0003657727239044925,0.5457700961688304,0.0
5,surprise,low_0.30,0.0020445420089090704,0.5349445545801421,0.0
5,surprise,low_0.50,0.2692945797985297,1.1290891614526208,0.32323232323232326
5,surprise,full,0.5338197860612788,0.9377171082629098,0.6565656565656566
