class_idx,class_name,stage,mean_gt_prob,mean_entropy,acc
0,anger,low_0.15,0.15614592449532616,1.2056463725037045,0.0707070707070707
0,anger,low_0.30,0.2415875708590252,1.0858613729777962,0.23232323232323232
0,anger,low_0.50,0.47214374623515387,1.0178449013919542,0.6060606060606061
0,anger,full,0.4890480109236457,1.0142283021199583,0.6060606060606061
1,disgust,low_0.15,0.1919834041859804,1.2515135407447815,0.1919191919191919
1,disgust,low_0.30,0.328718273434788,1.080247898294468,0.3939393939393939
1,disgust,low_0.50,0.5285346368845139,0.9909643472896682,0.6060606060606061
1,disgust,full,0.6849482507642471,0.7531113760131929,0.8181818181818182
2,fear,low_0.15,0.6705146386767878,0.9505972416713985,0.9191919191919192
2,fear,low_0.30,0.7116245783564418,0.7747928916354372,0.898989898989899
2,fear,low_0.50,0.5637061548315816,0.9127414234057821,0.7474747474747475
2,fear,full,0.517991561677796,0.9380768609769417,0.6868686868686869
3,joy,low_0.15,0.5451294260494637,1.061139042028273,0.7575757575757576
3,joy,low_0.30,0.7195546467496892,0.7843300138760094,0.9191919191919192
3,joy,low_0.50,0.6742728986222335,0.871371290599457,0.8888888888888888
3,joy,full,0.5632207165237026,0.9681962060205864,0.7474747474747475
4,sadness,low_0.15,0.17875650500634102,1.182176626390881,0.09090909090909091
4,sadness,low_0.30,0.33912206072397905,1.0058721096226664,0.36363636363636365
4,sadness,low_0.50,0.5427284580890579,0.9068020328578322,0.6666666666666666
4,sadness,full,0.60161310968676,0.8505820724548716,0.7171717171717171
5,surprise,low_0.15,0.15038066696977676,1.215403629673852,0.0707070707070707
5,surprise,low_0.30,0.1545472383132261,1.063349680015535,0.06060606060606061
5,surprise,low_0.50,0.26787103985840777,1.1491997579131463,0.29292929292929293
5,surprise,full,0.5001482968077515,1.0009200589524374,0.6363636363636364
