class_idx,class_name,stage,mean_gt_prob,mean_entropy,acc
0,anger,low_0.15,0.2279159910224303,1.6088236799143782,0.24242424242424243
0,anger,low_0.30,0.2787383916703137,1.4773411895289565,0.42424242424242425
0,anger,low_0.50,0.33550514107701757,1.4265316953562728,0.5656565656565656
0,anger,full,0.3958748670840504,1.328881617146309,0.6060606060606061
1,disgust,low_0.15,0.3134624323986395,1.5754559076193608,0.5353535353535354
1,disgust,low_0.30,0.46412399776204666,1.3441882515796508,0.7676767676767676
1,disgust,low_0.50,0.5457578243104496,1.2173353144616792,0.8383838383838383
1,disgust,full,0.5815753194719854,1.141429501952547,0.8484848484848485
2,fear,low_0.15,0.420201765617939,1.5007117775955585,0.8585858585858586
2,fear,low_0.30,0.4717779926428891,1.3405445326458325,0.7777777777777778
2,fear,low_0.50,0.430098700591109,1.3332342156256087,0.7272727272727273
2,fear,full,0.4160712941954232,1.2995536441754814,0.6767676767676768
3,joy,low_0.15,0.34471215751737055,1.5687240916069107,0.6767676767676768
3,joy,low_0.30,0.45811795789485027,1.3929643137286407,0.8080808080808081
3,joy,low_0.50,0.5018893666189126,1.2973830862478777,0.8080808080808081
3,joy,full,0.44524470381815023,1.3195347111634534,0.696969696969697
4,sadness,low_0.15,0.23631860579204078,1.5869702708841575,0.30303030303030304
4,sadness,low_0.30,0.3507618284737221,1.3957729809211963,0.46464646464646464
4,sadness,low_0.50,0.4486157260458879,1.2889820096468685,0.6363636363636364
4,sadness,full,0.4957675011922615,1.2073529203130742,0.696969696969697
5,surprise,low_0.15,0.2481236147007557,1.6039468266747214,0.43434343434343436
5,surprise,low_0.30,0.2950306846336885,1.4782948066489865,0.47474747474747475
5,surprise,low_0.50,0.3238360807299614,1.4260437030984898,0.494949494949495
5,surprise,full,0.406048264467355,1.3557520857965104,0.6565656565656566
