probe_name,run_name,model,seed,perturbation,class_idx,class_name,num_samples,acc
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,blur_heavy,5,surprise,99,0.24242424242424243
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,downsample_x2,0,anger,99,0.494949494949495
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,downsample_x2,1,disgust,99,0.8383838383838383
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,downsample_x2,2,fear,99,0.7373737373737373
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,downsample_x2,3,joy,99,0.7171717171717171
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,downsample_x2,4,sadness,99,0.5858585858585859
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,downsample_x2,5,surprise,99,0.5656565656565656
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,downsample_x4,0,anger,99,0.43434343434343436
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,downsample_x4,1,disgust,99,0.797979797979798
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,downsample_x4,2,fear,99,0.7373737373737373
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,downsample_x4,3,joy,99,0.7373737373737373
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,downsample_x4,4,sadness,99,0.45454545454545453
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,downsample_x4,5,surprise,99,0.5252525252525253
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,amplitude_noise_0.05,0,anger,99,0.5353535353535354
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,amplitude_noise_0.05,1,disgust,99,0.8484848484848485
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,amplitude_noise_0.05,2,fear,99,0.6767676767676768
roi_clip_baseline_lr5e4_seed42,roi_clip_baseline_lr5e4_seed42,baseline,42,amplitude_noise_0.05,3,joy,99,0.6464646464646465
