epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter
1,1.686739,0.334055,1.519723,0.563973,5.00000000e-04,56.456,56.440,0.016,56.456,0
2,1.429307,0.541847,1.332378,0.629630,4.99876887e-04,6.440,6.433,0.008,6.440,0
3,1.251692,0.634199,1.215287,0.664983,4.99507669e-04,6.510,6.502,0.008,6.510,0
4,1.143429,0.660173,1.125923,0.666667,4.98892710e-04,6.438,6.432,0.006,6.438,0
5,1.051471,0.689033,1.069875,0.666667,4.98032618e-04,6.483,6.477,0.006,6.483,1
6,0.982913,0.696970,1.021400,0.668350,4.96928241e-04,6.429,6.423,0.006,6.429,0
7,0.936360,0.707792,0.993840,0.686869,4.95580669e-04,6.411,6.404,0.007,6.411,0
8,0.900833,0.714286,0.965651,0.686869,4.93991232e-04,6.404,6.400,0.004,6.404,1
9,0.864217,0.723665,0.941230,0.688552,4.92161499e-04,6.404,6.398,0.006,6.404,0
10,0.834517,0.733766,0.919691,0.698653,4.90093275e-04,6.422,6.416,0.007,6.422,0
11,0.811801,0.741703,0.912388,0.668350,4.87788601e-04,6.391,6.386,0.004,6.391,1
12,0.780575,0.738817,0.894608,0.688552,4.85249752e-04,6.383,6.379,0.004,6.383,2
13,0.768299,0.759740,0.886126,0.685185,4.82479233e-04,6.147,6.142,0.005,6.147,3
14,0.766715,0.750361,0.874677,0.690236,4.79479779e-04,6.179,6.174,0.005,6.179,4
15,0.738341,0.753968,0.875493,0.678451,4.76254350e-04,6.421,6.416,0.005,6.421,5
16,0.727109,0.757576,0.867090,0.681818,4.72806128e-04,6.276,6.272,0.004,6.276,6
17,0.718270,0.756133,0.855115,0.690236,4.69138517e-04,6.179,6.175,0.005,6.179,7
18,0.701508,0.758297,0.854358,0.690236,4.65255136e-04,6.282,6.277,0.005,6.282,8
19,0.692324,0.772727,0.848079,0.691919,4.61159817e-04,6.207,6.203,0.004,6.207,9
20,0.680314,0.772727,0.853110,0.683502,4.56856603e-04,6.155,6.151,0.005,6.155,10
21,0.670779,0.776335,0.839366,0.691919,4.52349740e-04,6.113,6.108,0.004,6.113,11
22,0.664081,0.774170,0.844339,0.685185,4.47643676e-04,6.118,6.112,0.005,6.118,12
23,0.656799,0.784993,0.836377,0.693603,4.42743054e-04,6.107,6.102,0.004,6.107,13
