class_idx,class_name,stage,mean_gt_prob,mean_entropy,acc
0,anger,low_0.15,0.26590013097633014,1.388901872466309,0.2222222222222222
0,anger,low_0.30,0.3249914894689514,1.2265594619693179,0.41414141414141414
0,anger,low_0.50,0.39673948771499024,1.1665909519099227,0.5454545454545454
0,anger,full,0.46201181709013805,1.0592468538970659,0.5858585858585859
1,disgust,low_0.15,0.3549409496099359,1.3560743082051325,0.5151515151515151
1,disgust,low_0.30,0.5470363621157829,1.020611261629095,0.7070707070707071
1,disgust,low_0.50,0.6466408028088585,0.8659096730854174,0.8080808080808081
1,disgust,full,0.6813341048310952,0.7771714289644451,0.8080808080808081
2,fear,low_0.15,0.5734040253993237,1.1644978333603253,0.9090909090909091
2,fear,low_0.30,0.6153152312970522,0.9560356212384773,0.8181818181818182
2,fear,low_0.50,0.541509917269301,0.9830255276627011,0.7272727272727273
2,fear,full,0.5186281425671445,0.958131986886564,0.7070707070707071
3,joy,low_0.15,0.41223538388507536,1.3631298680498143,0.6464646464646465
3,joy,low_0.30,0.6058196157141768,1.0368266165858568,0.8484848484848485
3,joy,low_0.50,0.6689324378967285,0.8889994913279408,0.8686868686868687
3,joy,full,0.5522926785428115,0.9936260310086337,0.7474747474747475
4,sadness,low_0.15,0.20560237985442986,1.3860695446380462,0.16161616161616163
4,sadness,low_0.30,0.37267269912843753,1.1351477911677024,0.4444444444444444
4,sadness,low_0.50,0.5224673985080286,0.9814066535445175,0.6262626262626263
4,sadness,full,0.5858213033037957,0.8888997422023253,0.7070707070707071
5,surprise,low_0.15,0.26786538981127017,1.4128579930825667,0.3333333333333333
5,surprise,low_0.30,0.326399747451598,1.1990683608584933,0.36363636363636365
5,surprise,low_0.50,0.3607562060721896,1.115063142595869,0.40404040404040403
5,surprise,full,0.5080399914936284,1.0132206001064994,0.6363636363636364
