Run: roi_clip_fft_concat_seed44
Device: cuda | AMP: True
Protocol: official train/test only; no validation split is used.
Split: split_files | train=1386 test=594 classes=6
Epoch 045/100 | train_loss=0.5646 train_acc=0.8102 | test_loss=0.8081 test_acc=0.7088 | lr=2.97e-04 | patience=0/25 (new best)
Epoch 046/100 | train_loss=0.5496 train_acc=0.8160 | test_loss=0.8126 test_acc=0.6953 | lr=2.90e-04 | patience=1/25
Epoch 047/100 | train_loss=0.5533 train_acc=0.8160 | test_loss=0.8138 test_acc=0.6902 | lr=2.82e-04 | patience=2/25
Epoch 048/100 | train_loss=0.5475 train_acc=0.8131 | test_loss=0.8139 test_acc=0.6835 | lr=2.74e-04 | patience=3/25
Epoch 049/100 | train_loss=0.5333 train_acc=0.8196 | test_loss=0.8121 test_acc=0.6852 | lr=2.66e-04 | patience=4/25
Epoch 050/100 | train_loss=0.5450 train_acc=0.8059 | test_loss=0.8130 test_acc=0.6970 | lr=2.58e-04 | patience=5/25
Epoch 051/100 | train_loss=0.5414 train_acc=0.8095 | test_loss=0.8126 test_acc=0.6919 | lr=2.51e-04 | patience=6/25
Epoch 052/100 | train_loss=0.5436 train_acc=0.8081 | test_loss=0.8134 test_acc=0.6970 | lr=2.43e-04 | patience=7/25
Epoch 053/100 | train_loss=0.5525 train_acc=0.8110 | test_loss=0.8094 test_acc=0.6886 | lr=2.35e-04 | patience=8/25
Epoch 054/100 | train_loss=0.5533 train_acc=0.8059 | test_loss=0.8120 test_acc=0.6919 | lr=2.27e-04 | patience=9/25
Epoch 055/100 | train_loss=0.5344 train_acc=0.8110 | test_loss=0.8099 test_acc=0.6970 | lr=2.19e-04 | patience=10/25
Epoch 056/100 | train_loss=0.5314 train_acc=0.8124 | test_loss=0.8108 test_acc=0.6869 | lr=2.11e-04 | patience=11/25
Epoch 057/100 | train_loss=0.5439 train_acc=0.8095 | test_loss=0.8097 test_acc=0.6936 | lr=2.04e-04 | patience=12/25
Epoch 058/100 | train_loss=0.5398 train_acc=0.8124 | test_loss=0.8122 test_acc=0.6936 | lr=1.96e-04 | patience=13/25
Epoch 059/100 | train_loss=0.5384 train_acc=0.8153 | test_loss=0.8105 test_acc=0.6886 | lr=1.88e-04 | patience=14/25
Epoch 060/100 | train_loss=0.5285 train_acc=0.8232 | test_loss=0.8116 test_acc=0.6953 | lr=1.81e-04 | patience=15/25
Epoch 061/100 | train_loss=0.5292 train_acc=0.8218 | test_loss=0.8107 test_acc=0.6953 | lr=1.73e-04 | patience=16/25
Epoch 062/100 | train_loss=0.5248 train_acc=0.8139 | test_loss=0.8090 test_acc=0.6953 | lr=1.66e-04 | patience=17/25
Epoch 063/100 | train_loss=0.5367 train_acc=0.8117 | test_loss=0.8129 test_acc=0.6919 | lr=1.59e-04 | patience=18/25
Epoch 064/100 | train_loss=0.5321 train_acc=0.8139 | test_loss=0.8176 test_acc=0.6852 | lr=1.51e-04 | patience=19/25
Epoch 065/100 | train_loss=0.5279 train_acc=0.8225 | test_loss=0.8098 test_acc=0.7003 | lr=1.44e-04 | patience=20/25
Epoch 066/100 | train_loss=0.5231 train_acc=0.8182 | test_loss=0.8168 test_acc=0.6869 | lr=1.37e-04 | patience=21/25
Epoch 067/100 | train_loss=0.5296 train_acc=0.8261 | test_loss=0.8142 test_acc=0.6919 | lr=1.30e-04 | patience=22/25
Epoch 068/100 | train_loss=0.5157 train_acc=0.8182 | test_loss=0.8125 test_acc=0.6902 | lr=1.23e-04 | patience=23/25
Epoch 069/100 | train_loss=0.5174 train_acc=0.8225 | test_loss=0.8143 test_acc=0.6869 | lr=1.17e-04 | patience=24/25
Epoch 070/100 | train_loss=0.5202 train_acc=0.8175 | test_loss=0.8130 test_acc=0.6936 | lr=1.10e-04 | patience=25/25
Early stopping triggered at epoch 70.
best_acc=0.7088
best_epoch=45
best_checkpoint=checkpoints\roi_clip_fft_concat_seed44\best.pt
log_path=logs\roi_clip_fft_concat_seed44.log
