epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter
1,1.676366,0.347763,1.534629,0.589226,5.00000000e-04,61.687,61.668,0.018,61.687,0
2,1.417437,0.611833,1.348071,0.639731,4.99876887e-04,6.314,6.309,0.006,6.314,0
3,1.256598,0.647908,1.222311,0.670034,4.99507669e-04,6.442,6.435,0.008,6.442,0
4,1.135510,0.662338,1.136120,0.670034,4.98892710e-04,6.446,6.442,0.004,6.446,1
5,1.040470,0.694805,1.073035,0.678451,4.98032618e-04,6.267,6.263,0.003,6.267,0
6,0.981027,0.700577,1.029485,0.686869,4.96928241e-04,6.403,6.398,0.005,6.403,0
7,0.940111,0.706349,0.994867,0.691919,4.95580669e-04,6.447,6.442,0.005,6.447,0
8,0.891667,0.731602,0.969749,0.680135,4.93991232e-04,6.342,6.339,0.003,6.342,1
9,0.866740,0.727273,0.945932,0.690236,4.92161499e-04,6.341,6.338,0.003,6.341,2
10,0.831596,0.738817,0.930964,0.688552,4.90093275e-04,6.214,6.212,0.003,6.214,3
11,0.812028,0.736652,0.917790,0.680135,4.87788601e-04,5.875,5.873,0.003,5.875,4
12,0.790281,0.740260,0.902396,0.688552,4.85249752e-04,5.855,5.852,0.003,5.855,5
13,0.770283,0.748196,0.893527,0.681818,4.82479233e-04,5.871,5.869,0.002,5.871,6
14,0.758084,0.748918,0.881721,0.686869,4.79479779e-04,5.929,5.925,0.004,5.929,7
15,0.746353,0.748196,0.874901,0.685185,4.76254350e-04,6.387,6.384,0.003,6.387,8
16,0.731864,0.756133,0.867537,0.685185,4.72806128e-04,6.306,6.303,0.003,6.306,9
17,0.721305,0.758297,0.863036,0.685185,4.69138517e-04,6.371,6.369,0.002,6.371,10
18,0.693652,0.772727,0.858409,0.688552,4.65255136e-04,6.321,6.317,0.004,6.321,11
19,0.699661,0.769841,0.851458,0.693603,4.61159817e-04,6.365,6.360,0.005,6.365,0
20,0.685932,0.765512,0.847734,0.688552,4.56856603e-04,6.389,6.386,0.003,6.389,1
21,0.680616,0.767677,0.846223,0.685185,4.52349740e-04,6.368,6.364,0.004,6.368,2
22,0.660166,0.776335,0.844547,0.690236,4.47643676e-04,6.360,6.357,0.003,6.360,3
23,0.651375,0.773449,0.838947,0.690236,4.42743054e-04,6.370,6.366,0.004,6.370,4
24,0.659870,0.768398,0.838817,0.690236,4.37652712e-04,6.359,6.356,0.003,6.359,5
25,0.649072,0.766955,0.832681,0.695286,4.32377673e-04,6.314,6.311,0.003,6.314,0
26,0.643436,0.775613,0.832985,0.693603,4.26923142e-04,6.342,6.339,0.003,6.342,1
27,0.638148,0.776335,0.829336,0.696970,4.21294503e-04,6.323,6.319,0.004,6.323,0
28,0.630947,0.784271,0.829435,0.693603,4.15497310e-04,6.267,6.263,0.004,6.267,1
29,0.621949,0.782828,0.828449,0.693603,4.09537285e-04,6.285,6.283,0.003,6.285,2
30,0.619031,0.787879,0.825177,0.698653,4.03420310e-04,6.334,6.329,0.005,6.334,0
31,0.614589,0.795094,0.825239,0.693603,3.97152420e-04,6.338,6.335,0.003,6.338,1
32,0.612673,0.792929,0.823559,0.693603,3.90739803e-04,6.298,6.295,0.002,6.298,2
33,0.600370,0.790765,0.823511,0.693603,3.84188785e-04,6.296,6.293,0.003,6.296,3
34,0.607649,0.795815,0.817889,0.691919,3.77505833e-04,6.329,6.326,0.003,6.329,4
35,0.596806,0.802309,0.820636,0.691919,3.70697542e-04,6.346,6.343,0.003,6.346,5
36,0.593460,0.792208,0.818584,0.691919,3.63770630e-04,6.363,6.360,0.003,6.363,6
37,0.588524,0.795815,0.820065,0.690236,3.56731933e-04,6.338,6.334,0.004,6.338,7
38,0.587373,0.794372,0.820159,0.691919,3.49588399e-04,6.370,6.367,0.003,6.370,8
39,0.576766,0.801587,0.821695,0.688552,3.42347076e-04,6.355,6.352,0.003,6.355,9
40,0.577717,0.801587,0.817221,0.688552,3.35015111e-04,6.305,6.302,0.003,6.305,10
41,0.568415,0.792929,0.817451,0.690236,3.27599740e-04,6.256,6.253,0.003,6.256,11
42,0.564620,0.812410,0.816671,0.690236,3.20108281e-04,6.392,6.390,0.002,6.392,12
43,0.578695,0.805916,0.816236,0.688552,3.12548127e-04,6.216,6.214,0.002,6.216,13
44,0.568180,0.802309,0.817120,0.683502,3.04926739e-04,6.066,6.062,0.003,6.066,14
45,0.560449,0.789322,0.814381,0.690236,2.97251638e-04,6.404,6.401,0.003,6.404,15
46,0.562114,0.797258,0.815058,0.686869,2.89530399e-04,6.317,6.314,0.003,6.317,16
47,0.558160,0.810245,0.813093,0.685185,2.81770642e-04,6.363,6.360,0.004,6.363,17
48,0.560516,0.811688,0.813699,0.688552,2.73980024e-04,6.335,6.333,0.003,6.335,18
49,0.556397,0.802309,0.812365,0.688552,2.66166235e-04,6.307,6.304,0.003,6.307,19
50,0.552395,0.810967,0.811445,0.686869,2.58336984e-04,6.342,6.340,0.003,6.342,20
51,0.553869,0.816017,0.813486,0.685185,2.50500000e-04,6.362,6.359,0.003,6.362,21
52,0.546168,0.803030,0.809597,0.691919,2.42663016e-04,6.255,6.252,0.004,6.255,22
53,0.548354,0.815296,0.811654,0.685185,2.34833765e-04,6.290,6.287,0.003,6.290,23
54,0.561807,0.808081,0.812787,0.686869,2.27019976e-04,6.271,6.266,0.005,6.271,24
55,0.548904,0.804473,0.812016,0.685185,2.19229358e-04,6.341,6.338,0.003,6.341,25
