class_idx,class_name,stage,mean_gt_prob,mean_entropy,acc
0,anger,low_0.15,0.39168270850422404,0.9940193623605401,0.3939393939393939
0,anger,low_0.30,0.47600967093662483,0.8727650467042971,0.5555555555555556
0,anger,low_0.50,0.5023209941738068,0.8121218508993736,0.5757575757575758
0,anger,full,0.5478798125404865,0.7874178120283165,0.6060606060606061
1,disgust,low_0.15,0.32321940070356836,0.9868305438395703,0.36363636363636365
1,disgust,low_0.30,0.5239263790462053,0.7022575077158634,0.5757575757575758
1,disgust,low_0.50,0.7069129140346753,0.5446724368146423,0.7575757575757576
1,disgust,full,0.7379241206505656,0.49517956618784054,0.7878787878787878
2,fear,low_0.15,0.721544052765827,0.747496843789563,0.9292929292929293
2,fear,low_0.30,0.7071131468759944,0.63605220886794,0.8383838383838383
2,fear,low_0.50,0.5716666692087069,0.7309097855380087,0.6666666666666666
2,fear,full,0.5719830015994082,0.7050893442949864,0.696969696969697
3,joy,low_0.15,0.3173769149421291,1.166195630124121,0.3939393939393939
3,joy,low_0.30,0.6877166907763993,0.7658140350020293,0.8686868686868687
3,joy,low_0.50,0.8021454854369766,0.4934923256361725,0.8888888888888888
3,joy,full,0.6293769734864584,0.7126381534217584,0.7676767676767676
4,sadness,low_0.15,0.20082432819022375,1.0268523764580186,0.16161616161616163
4,sadness,low_0.30,0.41667645111341367,0.8422972441773222,0.45454545454545453
4,sadness,low_0.50,0.5739646037485489,0.6959616595860383,0.6262626262626263
4,sadness,full,0.6351791884270356,0.6548311628137875,0.7272727272727273
5,surprise,low_0.15,0.1040345562287992,1.1516941526923516,0.050505050505050504
5,surprise,low_0.30,0.20339994952482443,1.0060276889590303,0.20202020202020202
5,surprise,low_0.50,0.3184548349147945,0.7825676236640323,0.30303030303030304
5,surprise,full,0.5308873174545082,0.7335688165492482,0.5959595959595959
