class_idx,class_name,stage,mean_gt_prob,mean_entropy,acc
0,anger,low_0.15,0.2665157681215595,1.2484484222650871,0.32323232323232326
0,anger,low_0.30,0.3275879254307894,1.1500118573508844,0.494949494949495
0,anger,low_0.50,0.40315880957576966,1.3317726323700914,0.5757575757575758
0,anger,full,0.394439648234784,1.3120816789492211,0.5858585858585859
1,disgust,low_0.15,0.12524672809148188,1.2697670433693806,0.10101010101010101
1,disgust,low_0.30,0.22385565691589163,1.249713349170422,0.26262626262626265
1,disgust,low_0.50,0.49879352494396945,1.2590936584906145,0.7474747474747475
1,disgust,full,0.6023108214892522,1.0809466300739183,0.8686868686868687
2,fear,low_0.15,0.3777012947600361,1.054883148578162,0.6767676767676768
2,fear,low_0.30,0.4471145159935196,0.9923308451448711,0.7272727272727273
2,fear,low_0.50,0.4593411019880964,1.2463063543493098,0.7474747474747475
2,fear,full,0.43464644268305613,1.2575891710291005,0.6868686868686869
3,joy,low_0.15,0.3831326524266089,1.3339750332178815,0.5353535353535354
3,joy,low_0.30,0.39243121817708015,1.3536686127588802,0.5858585858585859
3,joy,low_0.50,0.4206264768962306,1.3879064014463713,0.7373737373737373
3,joy,full,0.4563931971035822,1.2924050161934861,0.7171717171717171
4,sadness,low_0.15,0.21746370341027862,1.096513127588714,0.2222222222222222
4,sadness,low_0.30,0.34807221735412136,1.0169285140899786,0.40404040404040403
4,sadness,low_0.50,0.5068680685427454,1.1634656955497433,0.6464646464646465
4,sadness,full,0.5386219417506998,1.1197338004906972,0.7171717171717171
5,surprise,low_0.15,0.09468320191629813,1.2387128963724137,0.04040404040404041
5,surprise,low_0.30,0.15391494942751158,1.2379320001582028,0.20202020202020202
5,surprise,low_0.50,0.33144700139610456,1.430817293398308,0.5252525252525253
5,surprise,full,0.42082504724914377,1.3147247469786443,0.6363636363636364
